# _tick,_time,step,total_loss,mean_episode_return,mean_episode_step,pg_loss,baseline_loss,entropy_loss,rho,advantage,grad_norm
0,1690388106.4515905,0,0.004668195731937885,0.4580017626285553,70.74842834472656,0.0007358154398389161,0.004011250101029873,-7.886984531069174e-05,0.9999831914901733,-0.021529607474803925,0.17370250821113586
1,1690388122.464664,1024,-0.009423339739441872,0.5675625205039978,108.70687103271484,-0.009854433126747608,0.000567614275496453,-0.0001365209900541231,1.000056266784668,-0.07991966605186462,0.1523398458957672
2,1690388138.0730457,2048,-0.0013051771093159914,0.5901443362236023,120.33333587646484,-0.0011550718918442726,3.3796921343309805e-05,-0.00018390211334917694,0.9999556541442871,-0.08497193455696106,0.0435805544257164
3,1690388153.225317,3072,-0.0026512150652706623,0.5901443362236023,120.33333587646484,-0.0025147474370896816,6.475861300714314e-05,-0.00020122619753237814,1.0000721216201782,-0.08513952791690826,0.050932954996824265
4,1690388167.9460025,4096,0.0014037876389920712,0.5901443362236023,120.33333587646484,0.0015578697202727199,6.6511842305772e-05,-0.00022059382172301412,1.0001102685928345,-0.08392129838466644,0.1051919236779213
5,1690388182.1294837,5120,0.0032839663326740265,0.5901443362236023,120.33333587646484,0.003451272612437606,5.026060534873977e-05,-0.00021756697969976813,0.9993765354156494,-0.08417315781116486,0.05270734801888466
6,1690388196.0779157,6144,-0.0013813183177262545,0.5901443362236023,120.33333587646484,-0.0011770910350605845,3.11157746182289e-05,-0.00023534303181804717,1.0001386404037476,-0.08662678301334381,0.04434715583920479
7,1690388209.967167,7168,0.004196214023977518,0.5919333696365356,122.67791748046875,0.004373842850327492,7.306068437173963e-05,-0.0002506895107217133,0.9998236894607544,-0.08533427119255066,0.07320501655340195
8,1690388230.9665787,8192,0.00894176121801138,0.10516880452632904,21.55890464782715,0.0038249988574534655,0.005155489780008793,-3.87275758839678e-05,1.0000147819519043,-0.030086161568760872,0.2203226536512375
9,1690388245.7900612,9216,-0.005808308254927397,0.4058553874492645,68.2251205444336,-0.007252883166074753,0.001501009101048112,-5.6433949794154614e-05,1.0000035762786865,-0.08793212473392487,0.25892889499664307
10,1690388258.5244668,10240,0.006187136285007,0.5135170817375183,86.33333587646484,0.0057041235268116,0.0006087592337280512,-0.0001257463445654139,1.0000102519989014,-0.07145000249147415,0.1099020466208458
11,1690388269.8665364,11264,-0.0005250313552096486,0.5135170817375183,86.33333587646484,-0.00040465843630954623,8.178951975423843e-05,-0.00020216242410242558,0.9998762011528015,-0.08139379322528839,0.0356028750538826
12,1690388280.8722813,12288,-0.005901978816837072,0.5135170817375183,86.33333587646484,-0.005782515741884708,9.321648394688964e-05,-0.00021267958800308406,1.0000293254852295,-0.0822138711810112,0.07300538569688797
13,1690388290.8388875,13312,-0.012941582128405571,0.6179257035255432,143.64076232910156,-0.012806992046535015,0.00012973276898264885,-0.00026432244339957833,0.9998116493225098,-0.0905681848526001,0.13046163320541382
14,1690388299.9196358,14336,0.0057831029407680035,0.6698538064956665,172.1428680419922,0.006006283685564995,4.317675848142244e-05,-0.00026635738322511315,0.9997825622558594,-0.09082513302564621,0.05583251267671585
15,1690388317.8412464,15360,0.0019197113579139113,0.6231746077537537,159.92010498046875,0.0002656267024576664,0.0017508796881884336,-9.679500362835824e-05,0.9999634027481079,-0.03759124130010605,0.07781089097261429
16,1690388334.8502893,16384,0.0086915148422122,0.4606766402721405,91.03251647949219,0.006340906955301762,0.00242462195456028,-7.401433686027303e-05,0.9999310970306396,-0.005019073374569416,0.2420983463525772
17,1690388348.1168542,17408,0.004885460715740919,0.736557126045227,151.8651885986328,0.0027014832012355328,0.002230126177892089,-4.61483869003132e-05,1.0004467964172363,-0.06288889795541763,0.21297185122966766
18,1690388358.5327628,18432,-0.0014978573890402913,0.9709063768386841,223.52328491210938,-0.0020451745949685574,0.0006418998236767948,-9.458264685235918e-05,1.000009298324585,-0.08115583658218384,0.16005046665668488
19,1690388366.8936853,19456,-0.0008547701872885227,0.9915074110031128,234.57144165039062,-0.0008339022169820964,0.00016289176710415632,-0.0001837597374105826,1.0000340938568115,-0.08987173438072205,0.07193609327077866
20,1690388373.4411528,20480,-0.010487520135939121,0.9915074110031128,234.57144165039062,-0.010425888933241367,0.00016193560441024601,-0.00022356663248501718,0.9999086856842041,-0.0932522863149643,0.17849795520305634
21,1690388380.8796408,21504,0.00204788101837039,0.9915074110031128,234.57144165039062,0.002276419196277857,2.054982542176731e-05,-0.00024908807245083153,0.999998927116394,-0.09140308201313019,0.03241302818059921
